StartDate,EndDate,Duration (in seconds),IPAddress,LocationLatitude,LocationLongitude,Progress,Q_TerminateFlag,Q_RelevantIDFraudScore,Q_RecaptchaScore,Q1.2,Q2.8_7,Q4.1,Q4.14,Q5.6,Q7.1,Q7.11
5/30/2024 22:26,5/30/2024 22:52,1595,8.8.8.8,37.751,-97.822,100,,0,1,11,2,-99,-99,1,27,-99
5/30/2024 22:40,5/30/2024 22:57,1008,8.8.8.2,37.751,-97.822,100,,0,1,16,4,Tesla,-99,2,32,-99
5/30/2024 22:57,5/30/2024 22:58,71,140.82.113.73,37.7823,-122.3911,10,,0,0.8999999761581421,46,,,,,,
5/30/2024 22:57,5/30/2024 22:58,72,180.241.36.12,33.9707,-88.8079,10,,0,0.8999999761581421,26,,,,,42,
5/30/2024 22:52,5/30/2024 23:05,784,208.67.222.222,37.774929,-122.419416,100,,30,0.8999999761581421,18,2,10 years out,-99,2,34,-99
5/30/2024 22:56,5/30/2024 23:11,929,4.2.2.2,39.739236,-104.990251,100,,0,0.8999999761581421,5,4,I think of A.I. managing time slots and creating work-plans.,-99,2,21,It has potential... I just worry that it will be used to harm rather than help.
5/30/2024 22:53,5/30/2024 23:16,1364,140.82.113.3,37.7823,-122.3911,61,,0,0.8999999761581421,26,2,Teslas,,,,
5/30/2024 22:51,5/30/2024 23:21,1786,64.233.160.0,37.4056,-122.0775,100,,30,1,37,2,"robot,Artificial intelligence",-99,2,53,-99
5/30/2024 23:05,5/30/2024 23:22,1038,17.172.224.47,37.332,-122.0312,100,,0,0.8999999761581421,20,2,It will be helpful in making the daily job routine task such easier compared to manual work everyday,-99,2,36,No
5/30/2024 23:03,5/30/2024 23:28,1522,13.35.15.30,47.6062,-122.3321,100,,30,0.8999999761581421,26,1,Makes my day a whole lot easier ,-99,2,42,-99
5/30/2024 23:20,5/30/2024 23:32,761,23.216.10.36,42.3601,-71.0589,100,,30,0.699999988,6,2,Tesla,-99,2,22,-99
5/30/2024 23:31,5/30/2024 23:43,740,52.95.110.1,47.6062,-122.3321,100,,0,1,19,2,Increased productivity,-99,2,35,-99
5/30/2024 23:37,5/30/2024 23:48,644,91.198.174.22,52.3667,4.8945,100,,0,0.8999999761581421,12,2,tesla,-99,2,28,-99
5/30/2024 23:43,5/30/2024 23:48,351,8.8.8.71,37.751,-97.822,100,,5,1,8,2,Tesla,-99,2,24,-99
5/30/2024 23:28,5/30/2024 23:49,1206,185.60.216.35,37.4847,-122.1484,94,,0,0.800000012,12,2,Dehumanizing people/Job & creativity loss,-99,2,28,
5/30/2024 23:43,5/30/2024 23:49,343,204.79.197.200,47.6401,-122.1293,100,,0,1,13,2,I think about AI writing emails and customer service. ,-99,2,29,I think that AI is important and will make jobs easy. 
5/30/2024 23:53,5/30/2024 23:54,66,208.67.222.13,37.774929,-122.419416,10,,0,0.800000012,12,,15 years out,,,,
5/30/2024 23:49,5/30/2024 23:54,322,40.76.0.0,29.4241,-98.4936,100,,0,0.8999999761581421,11,3,Chatgpt,-99,2,27,-99
5/30/2024 23:11,5/30/2024 23:54,2565,185.199.108.153,37.7823,-122.3911,50,,0,0.8999999761581421,27,2,,,,,
5/30/2024 23:32,5/31/2024 0:00,1630,140.82.113.3,37.7823,-122.3911,29,,45,0.8999999761581421,36,2,,,,,
5/30/2024 23:56,5/31/2024 0:01,312,64.233.177.100,40.7128,-74.006,100,,0,1,4,3,Not much. A ton of people who work from home definitely uses AI to complete much of their work.,-99,2,20,-99
5/30/2024 23:52,5/31/2024 0:01,536,216.58.214.14,37.751,-97.822,80,,5,0.8999999761581421,13,2,"AI making tasks easier by automating tasks, potentially eliminating the need for certain people's jobs ",-99,2,,
5/30/2024 23:42,5/31/2024 0:03,1258,151.101.0.81,37.7749,-122.4194,100,,105,0.8999999761581421,27,2,a software installed on a device that can give a solution to work related problems when problems are addressed to it,-99,2,43,-99
5/31/2024 0:10,5/31/2024 0:10,48,69.63.176.13,37.4847,-122.1484,9,,0,1,36,,"AI making jobs easier by automating tasks, potentially eliminating the need for certain workers",,,,
5/31/2024 0:04,5/31/2024 0:17,767,192.30.255.113,37.7823,-122.3911,100,,0,0.8999999761581421,3,2,"tesla, car accidents, older people driving",-99,2,19,
5/31/2024 0:00,5/31/2024 0:19,1139,216.58.217.46,37.751,-97.822,100,,0,1,10,2,How complicated new legislation addressing it would be,-99,2,27,-99
5/30/2024 23:39,5/31/2024 0:19,2411,34.206.39.153,39.0438,-77.4874,100,,0,0.800000012,37,2,use of machines and technology to help support job,-99,2,53,-99
5/31/2024 0:03,5/31/2024 0:22,1144,3.5.140.0,1.3521,103.8198,100,,0,0.4000000059604645,12,2,"Accidents (better information on fault, ect.) and surveillance of drivers",-99,2,28,-99
5/31/2024 0:10,5/31/2024 0:27,987,13.35.15.3,47.6062,-122.3321,100,,0,0.4000000059604645,27,2,Design. I personally utilize it a lot for graphic design. ,-99,2,43,Nothing comes to mind. Thank you for the opportunity with this study. 
5/31/2024 0:11,5/31/2024 0:31,1191,157.240.20.35,37.4847,-122.1484,100,,25,1,5,2,softwares that are simulated to act and respond like humans based aon the data they've been fed with,-99,2,21,nothing
5/31/2024 0:18,5/31/2024 0:31,777,210.0.145.1,-33.8688,151.2093,100,,75,0.8999999761581421,35,2,"When I think about self-driving cars, I envision advanced technology enabling safer, more efficient transportation, reduced traffic accidents, and increased mobility for those unable to drive, alongside ethical and regulatory challenges surrounding their widespread adoption and integration into society.",-99,2,51,-99
5/31/2024 0:07,5/31/2024 0:32,1533,203.0.113.1,-27.4698,153.0251,100,,50,0.8999999761581421,33,2,they are a better upgrade and modern cars.,-99,2,49,-99
5/31/2024 0:06,5/31/2024 0:39,2029,202.108.22.5,39.9042,116.4074,100,,0,1,17,2,AI helping workers to learn and develop. Also most likely used in the recruiting and hiring process. ,-99,2,33,-99
5/31/2024 0:14,5/31/2024 0:44,1826,104.244.42.1,37.7765,-122.4167,100,,30,0.8999999761581421,34,5,terminator speed fast speed,-99,2,50,nothing i can thihk of
5/31/2024 0:13,5/31/2024 0:51,2280,216.239.32.10,37.751,-97.822,100,,0,0.8999999761581421,35,2,safe and convenient,-99,2,51,none
5/31/2024 0:46,5/31/2024 1:01,871,204.79.197.203,47.6062,-122.3321,100,,25,0.8999999761581421,23,2,"The potential for mass disaster through nefarious or unforeseeable means.  Hacking, GPS signal loss, etc.",-99,2,38,-99
